X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
Georgia,,No,White/Caucasian,No,Heterosexual,Man,No,No,Jewish,"$75,000 - $99,999",No,No,No,Public,7,8,9,0,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Religious group, Hobbies","Yes, in both high school and college","Writing, Interview practice/generating practice questions",EDI,5,Georgia Institute of Technology,Vanderbilt was my first choice,No,"Yes, and I submitted it",,34,"Yes, college counseling","Location, Academics, Student Life","Campus tour, 'Dore For A Day, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,Mathematics,No,West,West,No,"Yes, covers full tuition",$0 ,No,2,5,1,7,7,6,1,7,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,Instagram,Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Maryland,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,Yes,"None (Atheist, Agnostic, etc.)","Under $50,000",No,No,No,Public,9,My school did not offer,My school did not offer,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Speech and Debate, Student Government, Paid work, Recreational/Hobbies Clubs","Yes, in both high school and college","Writing, Research, Coding, Math",Regular Decision,17,"University of Maryland, University of Maryland Baltimore County",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1560,,No,"Cost, Academics, Brand name/rankings",Anchor Day (admitted students day),School of Engineering,No,Computer Science,No,West,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,4,3,2,7,4,3,3,2,6,4,"Yes, in my home state/country",Prefer not to answer,4-6 hours,"News websites/apps, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Indiana,,No,White/Caucasian,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Private,10+,My school did not offer,6,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Dance, Research","Yes, in high school but not in college",Writing,Regular Decision off the waitlist,11,"IU, Purdue, Auburn, Butler, Depauw, IU Indianapolis, Hanover",Vanderbilt was not my first choice nor was it among my top choices,No,No,,,No,"Cost, Post-grad opportunities, Campus",Commodore Launch,College of Arts of Science,No,Public Policy Studies,"Yes, as a pre-law student",North,Hank Ingram,"Yes, full cost of attendence",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",4,3,1,5,6,2,3,2,5,1,"Yes, in my home state/country",Prefer not to answer,6-9 hours,"News websites/apps, Instagram, TikTok",Once a semester,Once a week,Never,Never,None,No,Prefer not to answer
Florida,,No,Asian/Pacific Islander,No,Gay/lesbian,Nonbinary or gender nonconforming,No,No,"None (Atheist, Agnostic, etc.)","$500,000 - $749,999",No,No,No,Public,10+,My school did not offer,3,10+,"Academic Clubs/Competition, Community Service, Music",No,,Regular Decision,15,"FSU, UF, NYU, Peabody Institute at Johns Hopkins, Oberlin College, Cornell University",Vanderbilt was not my first choice nor was it among my top choices,No,"Yes, and I submitted it",,35,"Yes, college counseling","Academics, Student Life",Dore For A Day,Blair School of Music,No,Music Integrated Studies,No,Hank Ingram,Hank Ingram,No,"Yes, covers partial tuition",$0 ,No,2,6,3,3,1,5,5,6,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, Instagram, TikTok",Once a semester,Once a month,Never,Never,None,Yes,N/A (I have never owned a fake ID)
California,,Yes,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Woman,No,No,Christian,"Under $50,000","Yes, sibling(s), Yes, extended family",No,No,Private,2,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Dance, Paid work",No,,EDI,3,I withdrew,Vanderbilt was my first choice,"Yes, and I submitted it",No,1550,,"Yes, standardized testing (ACT/SAT) tutoring","Location, Academics, Student Life",Campus tour,School of Engineering,No,Mechanical Engineering,No,Stambaugh,Hank Ingram,"Yes, less than half the cost of attendance",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,4,4,6,7,5,4,5,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"Instagram, TikTok",Once a month,Once a month,Never,Never,None,No,Arizona
Mississippi,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$150,000 - $199,999",No,No,No,Public,10+,My school did not offer,5,0,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Music, Religious group, Student Government, Paid work","Yes, in both high school and college","Writing, Math",EDII,10,"University of Alabama, University of Mississippi",Vanderbilt was my first choice,"Yes, and I submitted it","Yes, and I submitted it",1580,35,No,"Cost, Location, Academics",Campus tour,College of Arts of Science,"Yes, Peabody",Public Policy Studies,"Yes, as a pre-med student",Murray,Hank Ingram,"Yes, more than half the cost of attendance","Yes, covers partial tuition","$15,000 - $19,999","Yes, I plan to participate in Panhellenic recruitment",4,3,3,6,3,3,3,2,7,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram",Once a month,Twice a week,Once a semester,Never,None,No,Mississippi
Ohio,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Christian,"Under $50,000",No,No,No,Public,5,1,6,7,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Music, Religious group, Paid work","Yes, in college but not in high school","Research, Coding",Regular Decision,11,,Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it","Yes, but I did not submit it",,,No,"Cost, Post-grad opportunities, Brand name/rankings",Commodore Launch,Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),"Yes, as a pre-law student",Gillette,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,5,4,4,4,2,5,4,1,5,2,"I am eligible to vote, but am not registered",I intend to vote for a third party candidate,4-6 hours,"News websites/apps, Instagram",Never,Never,Never,Never,,No,N/A (I have never owned a fake ID)
Illinois,,No,White/Caucasian,No,Heterosexual,Man,No,No,Christian,"$500,000 - $749,999",No,No,No,Private,10+,My school did not offer,10+,4,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Paid work","Yes, in high school but not in college","Writing, Research",EDI,8,,Vanderbilt was my first choice,"Yes, and I submitted it","Yes, and I submitted it",1540,35,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Student Life",Commodore Launch,College of Arts of Science,"Yes, A&S",Economics,No,Gillette,Gillette,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",3,5,6,6,6,6,4,4,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Television, TikTok, X (formerly Twitter)",Once a month,Once a week,Once a week,Once a month,,Yes,Illinois
Michigan,,No,White/Caucasian,No,Heterosexual,Man,No,No,Christian,"Under $50,000","Yes, sibling(s)",No,No,Public,7,1,5,0,"Academic Clubs/Competition, Athletics, Community Service, Journalism, Speech and Debate, Student Government","Yes, in both high school and college","Writing, Research, Math",EDI,9,"Miami university, Michigan, North Carolina, Virginia, depauw, Tulane",Vanderbilt was my first choice,"Yes, and I submitted it","Yes, but I did not submit it",1480,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Brand name/rankings, Student Life",Campus tour,College of Arts of Science,No,Economics,No,Hank Ingram,Sutherland,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",5,2,2,7,6,1,4,2,7,1,"Yes, in my home state/country",I intend to vote for Donald Trump,4-6 hours,"News websites/apps, Instagram, X (formerly Twitter)",Four or more times a week,Once a week,Never,Once a month,None,Yes,Prefer not to answer
Kentucky,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Hindu,"$200,000 - $299,999",No,No,No,Public,10+,My school did not offer,8,6,"Academic Clubs/Competition, Athletics, Community Service","Yes, in both high school and college","Research, making study guides",Regular Decision,11,"University of Louisville, University of Kentucky, Case Western, Pitt, University of ",Vanderbilt was my first choice,No,"Yes, and I submitted it",,36,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Post-grad opportunities","Campus tour, 'Dore For A Day, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,Psychology,"Yes, as a pre-med student",Gillette,Hank Ingram,"Yes, more than half the cost of attendance",No,I don't know,No,2,4,3,5,7,5,4,6,6,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Instagram, Youtube",Prefer not to answer,Prefer not to answer,Never,Never,None,No,N/A (I have never owned a fake ID)
Missouri,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999",No,No,No,Public,10+,10+,10+,10+,"Academic Clubs/Competition, Community Service, Family Responsibilities, Music, Speech and Debate, Paid work","Yes, in high school but not in college",Writing,EDII,19,"Missouri S&T, Mizzou (did not find out about the others since I withdrew from them after getting accepted EDII)",I did not have a ranking of the schools I applied to,"Yes, but I did not submit it","Yes, but I did not submit it",,,No,"Cost, Academics, Brand name/rankings",Dore For A Day,College of Arts of Science,"Yes, Engineering",Mechanical Engineering,No,Memorial,Memorial,"Yes, more than half the cost of attendance",No,$0 ,No,3,5,1,4,6,4,4,4,6,4,"Yes, in my home state/country",Prefer not to answer,4-6 hours,"News websites/apps, Instagram, TikTok, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
South Carolina,,No,White/Caucasian,No,Gay/lesbian,Man,No,No,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999",No,No,No,Public,2,0,8,6,"Academic Clubs/Competition, Family Responsibilities, Career-oriented internship, Journalism, Student Government, Paid work","Yes, in high school but not in college","Writing, Research, Math",Regular Decision,12,"University of Denver, Seton Hall University, George Washington University, University of South Carolina, College of Charleston, Presbyterian College, Lander University, Wofford College, St. John’s University",Vanderbilt was my first choice,"Yes, but I did not submit it",No,1350,,No,"Cost, Academics, Brand name/rankings",Campus tour,College of Arts of Science,No,Political Science,"Yes, as a pre-law student",Murray,Murray,"Yes, more than half the cost of attendance","Yes, covers partial tuition","$10,000 - $14,999",Not sure,2,5,2,4,6,6,5,4,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram, TikTok, X (formerly Twitter)",Once a semester,Once a month,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Minnesota,,No,White/Caucasian,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999",No,No,No,Public,10+,My school did not offer,10+,6,"Academic Clubs/Competition, Athletics, Career-oriented internship, Paid work",No,,Regular Decision off the waitlist,21,"University of Vermont, University of South Florida, University of Maine, University of New Hampshire, University of Houston, Michigan Tech",Vanderbilt was not my first choice nor was it among my top choices,"Yes, and I submitted it","Yes, but I did not submit it",1470,27,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Academics, Brand name/rankings",Commodore Launch,School of Engineering,No,Mechanical Engineering,No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance","Yes, covers partial tuition",$0 ,No,2,5,2,4,7,6,4,7,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Massachusetts,,Yes,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999",No,No,No,Public,5,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Career-oriented internship, Music, Research","Yes, in both high school and college","Writing, Research, Math, Image generator ",Regular Decision,20,"Johns Hopkins, Georgia Tech, Umass Amherst, McGill, UVA, Umiami, Pitt",Vanderbilt was not my first choice nor was it among my top choices,"Yes, and I submitted it",No,1540,,"Yes, college counseling","Cost, Academics, Student Life","Campus tour, Anchor Day (admitted students day)",School of Engineering,No,Civil Engineering,No,Stambaugh,Stambaugh,No,"Yes, covers full tuition",$0 ,Not sure,2,6,1,6,7,6,4,5,7,6,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram, Youtube",Never,Once a week,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Colorado,,No,White/Caucasian,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999",No,No,No,Public,8,My school did not offer,5,7,"Academic Clubs/Competition, Advocacy, Community Service, Music, Speech and Debate",No,,Regular Decision,16,,Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it","Yes, but I did not submit it",,,No,"Cost, School size, Brand name/rankings",None,Blair School of Music,No,Music Performance,"Yes, as a pre-law student",Sutherland,Sutherland,"Yes, more than half the cost of attendance",No,$0 ,Not sure,3,4,7,6,7,3,4,2,1,5,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, Instagram, TikTok, Youtube, Other social media",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Heterosexual,Man,No,No,Christian,"$200,000 - $299,999",No,No,No,Public,10+,My school did not offer,10+,7,"Academic Clubs/Competition, Athletics, Community Service, Career-oriented internship, Religious group, Research, Student Government","Yes, in high school but not in college",Writing,Regular Decision,17,"UGA, UTK, UVA, Lipscomb, Duke, Princeton, Emory, Florida, Michigan, UNC",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Academics, Faculty","Campus tour, Commodore Launch, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),"Yes, as a pre-law student",Stambaugh,Stambaugh,No,"Yes, covers full tuition",$0 ,Not sure,5,2,4,7,3,4,4,1,7,2,"Yes, in Tennessee",I intend to vote for Donald Trump,2-4 hours,"News websites/apps, Instagram, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Connecticut,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian and Jewish,"$300,000 - $499,999",No,No,No,Public,7,My school did not offer,6,2,"Academic Clubs/Competition, Athletics, Model UN, Student Government, Theater","Yes, in both high school and college","Writing, Research, Math",EDI,14,"Santa Clara, SMU, Denver, Pittsburgh, Ohio State, Auburn",Vanderbilt was my first choice,"Yes, and I submitted it",No,1520,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Student Life","Campus tour, 'Dore For A Day, Commodore Launch",School of Engineering,No,Electrical and Computer Engineering,No,Stambaugh,Stambaugh,No,No,I don't know,"Yes, I plan to participate in Panhellenic recruitment",4,5,3,7,7,2,2,2,7,1,"I am eligible to vote, but am not registered",Prefer not to answer,4-6 hours,"News websites/apps, Television, Instagram, X (formerly Twitter), Youtube",Once a month,Twice a week,Once a semester,Once a semester,None,Yes,Vermont
